subset_name,count,fraction_of_total,selection_rule
strict_hard_comparable,20,0.079051,cdsg_non_abstention_and_flat_missing_information_excludes_density_category
missing_density_abstention,122,0.482213,cdsg_abstention_reason == missing_nodule_density
missing_size_abstention,76,0.300395,cdsg_abstention_reason == missing_nodule_size
no_structured_nodule_abstention,7,0.027668,cdsg_abstention_reason == no_structured_nodule
