Variant,Task,Acc.,Macro-F1
Weighted vote / main,Density,12.77 ± 0.06,23.17 ± 4.47
Weighted vote / main,Location,98.47 ± 0.19,96.63 ± 0.33
Uniform vote,Density,12.75 ± 0.07,23.24 ± 8.34
Uniform vote,Location,98.41 ± 0.18,96.53 ± 0.39
