Max seq length,Task,Acc.,Macro-F1
64,Density,12.75 ± 0.05,19.21 ± 3.52
96,Density,12.79 ± 0.13,22.51 ± 5.74
128 / main,Density,12.77 ± 0.06,23.17 ± 4.47
160,Density,12.75 ± 0.09,23.12 ± 4.63
192,Density,12.71 ± 0.04,24.77 ± 6.10
