Variant,Task,Acc.,Macro-F1
G1,Density,13.43 ± 0.07,25.84 ± 6.48
G1,Location,99.75 ± 0.09,99.31 ± 0.22
G2 / main,Density,12.77 ± 0.06,23.17 ± 4.47
G2 / main,Location,98.47 ± 0.19,96.63 ± 0.33
G3,Density,19.28 ± 4.26,39.84 ± 3.60
G3,Location,99.67 ± 0.03,98.94 ± 0.22
G4,Density,12.76 ± 0.07,24.51 ± 10.53
G4,Location,98.29 ± 0.21,96.36 ± 0.32
G5,Density,12.55 ± 0.25,28.35 ± 7.09
G5,Location,90.11 ± 0.47,67.49 ± 2.11
