Variant,Seeds,Has-size F1,Has-size AUPRC,中文说明
lexical alone,5,90.58 +/- 0.00,95.93 +/- 0.00,5-seed learned lexical expert；作为 Wave5 组件基线。
lexical + BERT,1,92.09 +/- 0.00,96.63 +/- 0.00,seed42 诊断结果；用于判断 BERT probability 的边际贡献。
lexical + cue,1,98.88 +/- 0.00,99.86 +/- 0.00,seed42 诊断结果；用于判断 cue features 的边际贡献。
lexical + BERT + cue,5,99.28 +/- 0.02,99.90 +/- 0.01,最终 5-seed learned stacked head；不属于 deterministic cue-only。
