Method,Seeds,Accuracy,Macro-F1
TF-IDF + LR,"5 (13,42,87,3407,31415)",36.32 +/- 0.00,49.41 +/- 0.00
TF-IDF + SVM,"5 (13,42,87,3407,31415)",36.55 +/- 0.00,47.80 +/- 0.00
TF-IDF + MLP,"5 (13,42,87,3407,31415)",36.20 +/- 0.07,60.57 +/- 1.09
Vanilla PubMedBERT,"5 (13,42,87,3407,31415)",98.82 +/- 0.31,97.39 +/- 0.53
SciBERT,"5 (13,42,87,3407,31415)",98.95 +/- 0.33,97.52 +/- 0.64
BioClinicalBERT / ClinicalBERT,"5 (13,42,87,3407,31415)",98.82 +/- 0.13,97.33 +/- 0.23
MWS-CFE (Ours; final),"5 (13,42,87,3407,31415)",99.30 +/- 0.38,98.35 +/- 0.71
