Method,Seeds,Accuracy,Macro-F1
TF-IDF + LR,"5 (13,42,87,3407,31415)",87.59 +/- 0.00,79.11 +/- 0.00
TF-IDF + SVM,"5 (13,42,87,3407,31415)",89.37 +/- 0.00,81.41 +/- 0.00
TF-IDF + MLP,"5 (13,42,87,3407,31415)",87.47 +/- 0.18,78.08 +/- 0.36
Vanilla PubMedBERT,"5 (13,42,87,3407,31415)",95.82 +/- 1.51,91.19 +/- 0.82
SciBERT,"5 (13,42,87,3407,31415)",95.18 +/- 1.49,90.54 +/- 1.04
BioClinicalBERT / ClinicalBERT,"5 (13,42,87,3407,31415)",95.01 +/- 1.43,90.56 +/- 0.91
MWS-CFE (Ours; final),"5 (13,42,87,3407,31415)",98.90 +/- 0.29,96.89 +/- 0.32
