Method,Seeds,Accuracy,Precision,Recall,F1,Macro-F1,AUPRC,AUROC
TF-IDF + LR,"5 (13,42,87,3407,31415)",83.96 +/- 0.00,44.78 +/- 0.00,89.83 +/- 0.00,59.77 +/- 0.00,74.88 +/- 0.00,63.70 +/- 0.00,93.04 +/- 0.00
TF-IDF + SVM,"5 (13,42,87,3407,31415)",85.05 +/- 0.00,46.55 +/- 0.00,85.85 +/- 0.00,60.37 +/- 0.00,75.58 +/- 0.00,65.43 +/- 0.00,92.61 +/- 0.00
TF-IDF + MLP,"5 (13,42,87,3407,31415)",87.06 +/- 0.19,50.73 +/- 0.45,82.80 +/- 0.49,62.91 +/- 0.28,77.54 +/- 0.20,65.63 +/- 0.98,93.15 +/- 0.13
Vanilla PubMedBERT,"5 (13,42,87,3407,31415)",96.44 +/- 2.84,80.65 +/- 12.01,99.44 +/- 0.53,88.68 +/- 7.87,93.28 +/- 4.80,98.70 +/- 0.56,99.75 +/- 0.20
SciBERT,"5 (13,42,87,3407,31415)",98.14 +/- 0.92,88.39 +/- 5.39,99.39 +/- 0.25,93.50 +/- 3.06,96.21 +/- 1.80,99.23 +/- 0.18,99.74 +/- 0.05
BioClinicalBERT / ClinicalBERT,"5 (13,42,87,3407,31415)",97.27 +/- 0.50,83.58 +/- 2.28,98.87 +/- 0.75,90.58 +/- 1.61,94.49 +/- 0.95,98.47 +/- 0.84,99.73 +/- 0.15
MWS-CFE (Ours; final),"5 (13,42,87,3407,31415)",99.58 +/- 0.12,98.11 +/- 0.64,98.76 +/- 0.94,98.43 +/- 0.45,99.09 +/- 0.26,99.36 +/- 0.39,99.88 +/- 0.09
