诊断组,取值,Seeds,Has-size F1,Has-size AUPRC,中文说明
Wave5 threshold,threshold 0.882856 +/- 0.033658,5,99.28 +/- 0.02,99.90 +/- 0.01,阈值在 phase5-like dev 上选择；Phase5 test 未用于阈值选择。
Wave5 stacked head,lexical + BERT + cue logistic-regression head,5,99.28 +/- 0.02,99.90 +/- 0.01,最终学习式堆叠头；融合 lexical probability、BERT probability 和 cue features。
component,lexical alone,5,90.58 +/- 0.00,95.93 +/- 0.00,lexical alone 组件基线。
component,lexical + BERT,1,92.09 +/- 0.00,96.63 +/- 0.00,lexical + BERT，seed42 诊断结果。
component,lexical + cue,1,98.88 +/- 0.00,99.86 +/- 0.00,lexical + cue，seed42 诊断结果。
component,lexical + BERT + cue,5,99.28 +/- 0.02,99.90 +/- 0.01,lexical + BERT + cue，最终 5-seed 组件组合。
