Method,Seeds,Accuracy,Precision,Recall,F1,AUPRC,AUROC
TF-IDF + LR,"5 (13,42,87,3407,31415)",90.04 +/- 0.00,78.48 +/- 0.00,99.67 +/- 0.00,87.82 +/- 0.00,N/A,N/A
TF-IDF + SVM,"5 (13,42,87,3407,31415)",89.82 +/- 0.00,77.99 +/- 0.00,99.91 +/- 0.00,87.60 +/- 0.00,N/A,N/A
TF-IDF + MLP,"5 (13,42,87,3407,31415)",87.67 +/- 1.23,74.74 +/- 1.89,99.40 +/- 0.13,85.32 +/- 1.26,N/A,N/A
Vanilla PubMedBERT,"5 (13,42,87,3407,31415)",84.33 +/- 1.08,69.70 +/- 1.46,100.00 +/- 0.00,82.14 +/- 1.01,N/A,N/A
SciBERT,"5 (13,42,87,3407,31415)",85.53 +/- 1.09,71.36 +/- 1.50,100.00 +/- 0.00,83.28 +/- 1.03,N/A,N/A
BioClinicalBERT / ClinicalBERT,"5 (13,42,87,3407,31415)",83.03 +/- 0.80,67.98 +/- 1.03,100.00 +/- 0.00,80.94 +/- 0.73,N/A,N/A
MWS-CFE (Ours; final),"5 (13,42,87,3407,31415)",99.48 +/- 0.01,98.77 +/- 0.03,99.80 +/- 0.05,99.28 +/- 0.02,99.90 +/- 0.01,99.95 +/- 0.00
